layer,token_type,threshold,k_n_channels,k_median_channel_norm,k_max_channel_norm,k_max_to_median_ratio,k_n_outliers,k_outlier_ratio,v_n_channels,v_median_channel_norm,v_max_channel_norm,v_max_to_median_ratio,v_n_outliers,v_outlier_ratio
0,all,10.0,1024,15.627577462438687,5077.02565792709,324.8760513348829,18,0.017578125,1024,1.1850902404370909,6.152072565066297,5.191227094062693,0,0.0
1,all,10.0,1024,17.87569769889953,1500.7636389518505,83.95552801523607,9,0.0087890625,1024,1.6303645089904855,7.446307581268796,4.567265504251878,0,0.0
2,all,10.0,1024,17.301167466258374,2018.5163816061786,116.66937422245019,10,0.009765625,1024,2.1962200114245176,9.59528158827495,4.368998341860675,0,0.0
3,all,10.0,1024,13.193043477555989,1043.5185926871122,79.09612323057576,11,0.0107421875,1024,4.911206363609681,33.31568442935937,6.783605078421653,0,0.0
4,all,10.0,1024,23.693565068161554,1121.6988257460575,47.3419184710768,16,0.015625,1024,4.915566046942303,19.318340005113825,3.930033656475978,0,0.0
5,all,10.0,1024,16.368457440838608,1018.9509345269116,62.25088333520495,26,0.025390625,1024,5.682903312120209,21.829009283254127,3.841172035550617,0,0.0
6,all,10.0,1024,17.84403346590902,978.1611101893775,54.81726494506703,20,0.01953125,1024,4.630794838287966,26.53912556988597,5.7310087137649255,0,0.0
7,all,10.0,1024,13.716822775064358,550.3978173358189,40.12575115692099,23,0.0224609375,1024,6.770975711357419,25.103922499693354,3.7075782826372916,0,0.0
8,all,10.0,1024,15.761377218177163,251.95142675504627,15.98536874458392,7,0.0068359375,1024,7.7125011013931495,31.7693150066066,4.1191974677148435,0,0.0
9,all,10.0,1024,15.0501965511913,399.9066597180102,26.571524056697818,17,0.0166015625,1024,9.771902925109245,36.1978748760451,3.7042810549246656,0,0.0
10,all,10.0,1024,15.11237825697754,599.5308869837803,39.67151144506132,14,0.013671875,1024,9.857620322083534,48.797422747121196,4.950223395985619,0,0.0
11,all,10.0,1024,16.147427626779162,202.3601388646609,12.532035661770887,1,0.0009765625,1024,12.29900704276366,54.97307664196398,4.469716656866894,0,0.0
12,all,10.0,1024,13.976447591520369,460.35642375128884,32.93801380764244,8,0.0078125,1024,15.352379058419814,101.9446122180558,6.640313649769193,0,0.0
13,all,10.0,1024,14.25529592406675,150.93930693407674,10.588296990681958,1,0.0009765625,1024,16.684369734175014,111.50632340575422,6.68328053036088,0,0.0
14,all,10.0,1024,13.900521455956124,281.311103557993,20.23744968484303,6,0.005859375,1024,20.296121688251322,217.76625342809976,10.729451506696307,1,0.0009765625
15,all,10.0,1024,15.213423297470017,655.5088933789964,43.08753398638471,16,0.015625,1024,23.6467891803191,98.5197367815179,4.16630503322263,0,0.0
16,all,10.0,1024,16.138343785354184,184.68125358271575,11.443631145738577,2,0.001953125,1024,26.07355100365167,142.071496640867,5.448874095475891,0,0.0
17,all,10.0,1024,12.942771021427,522.0635774707031,40.3363063911443,9,0.0087890625,1024,45.31309402212263,190.93191479148211,4.2136146054883366,0,0.0
18,all,10.0,1024,15.619000726117559,181.41784077890702,11.615201507452799,1,0.0009765625,1024,45.53127491100028,188.35815995994125,4.1368962395216,0,0.0
19,all,10.0,1024,15.233037922848272,228.51284035588523,15.001133819350324,6,0.005859375,1024,62.32561424936772,267.1568246439903,4.286469180633877,0,0.0
20,all,10.0,1024,13.131638348143875,260.1805727663942,19.81326060530521,6,0.005859375,1024,88.17530401430099,345.774576390779,3.921444674970425,0,0.0
21,all,10.0,1024,13.301221488110006,339.08603360316863,25.492849202329158,7,0.0068359375,1024,110.5362593428556,341.27801519404255,3.0874757045602945,0,0.0
22,all,10.0,1024,13.270250017868813,215.91920917956955,16.270922468591586,2,0.001953125,1024,133.96993232136901,333.2958896231288,2.487840994228569,0,0.0
23,all,10.0,1024,15.241995017438212,235.8671737205413,15.47482291200647,6,0.005859375,1024,145.39079332378662,447.61072934478085,3.078673134054284,0,0.0
24,all,10.0,1024,15.230333745090082,255.72102969404088,16.790244650842244,14,0.013671875,1024,198.3203972063089,578.6243377767462,2.9176239354483258,0,0.0
25,all,10.0,1024,13.829963044150395,180.0387403441928,13.01802034968872,9,0.0087890625,1024,245.0335718790344,521.3623745545859,2.127718134933635,0,0.0
26,all,10.0,1024,11.291704854590769,139.99538961215507,12.398073755464692,5,0.0048828125,1024,243.29522647821636,704.3901690930542,2.8952075192322866,0,0.0
27,all,10.0,1024,13.716036151234452,506.38418106201044,36.91913432412728,8,0.0078125,1024,149.42037422908152,655.0658243693869,4.3840462035323435,0,0.0
